Logger, MurtadahHaddadBot:         	Automatically truncated logfile to 1048576
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 2.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 4.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 1.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 1, 0 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
PingLoop, MurtadahHaddadBot:       	Ping DC 5.0
Session, MurtadahHaddadBot:        	Garbage collected 0 outgoing messages in DC 5, 1 left
PingLoop, MurtadahHaddadBot:       	Ping DC 3.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 2.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 4.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 4, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 1.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 1, 0 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
PingLoop, MurtadahHaddadBot:       	Ping DC 5.0
Session, MurtadahHaddadBot:        	Garbage collected 0 outgoing messages in DC 5, 1 left
PingLoop, MurtadahHaddadBot:       	Ping DC 3.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 2.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 4.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 4, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 1.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 1, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 3.0
PingLoop, MurtadahHaddadBot:       	Ping DC 5.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 2.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 4.0
Session, MurtadahHaddadBot:        	Garbage collected 0 outgoing messages in DC 4, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 4, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 1.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 1, 0 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 3.0
PingLoop, MurtadahHaddadBot:       	Ping DC 5.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 0 outgoing messages in DC 5, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 2.0
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 4.0
Session, MurtadahHaddadBot:        	Garbage collected 0 outgoing messages in DC 4, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 4, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 1.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 1, 0 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 3.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 3, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 5.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 2.0
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 4.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 4, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 1.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 1, 0 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 3.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 3, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 5.0
Session, MurtadahHaddadBot:        	Garbage collected 0 outgoing messages in DC 5, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 2.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 4.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 4, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 1.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 1, 0 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 3.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 3, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 5.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 5, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.safe.php.lock...
SessionPaths, MurtadahHaddadBot:   	Waiting for exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
SessionPaths, MurtadahHaddadBot:   	Got exclusive lock of /home/arajeeznet/wakeel.arajeez.net/wakeel/storage/app/telegram_session.madeline.lightState.php.lock...
APIWrapper, MurtadahHaddadBot:     	Saved session!
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 2.0
Session, MurtadahHaddadBot:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 3 outgoing messages in DC 2, 0 left
PingLoop, MurtadahHaddadBot:       	Ping DC 4.0
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, MurtadahHaddadBot:        	Garbage collected 1 incoming messages in DC 4, 0 left
